,patt_id,norm_power_mW_of_MultiStimulator,APC
0,245,2.5e-05,0
0,245,0.0001,0
0,245,0.0004,0
0,245,0.0016,0
0,246,2.5e-05,0
0,246,0.0001,0
0,246,0.0004,0
0,246,0.0016,2
0,247,2.5e-05,0
0,247,0.0001,0
0,247,0.0004,0
0,247,0.0016,3
0,248,2.5e-05,0
0,248,0.0001,0
0,248,0.0004,0
0,248,0.0016,5
0,249,2.5e-05,0
0,249,0.0001,0
0,249,0.0004,0
0,249,0.0016,6
0,250,2.5e-05,0
0,250,0.0001,0
0,250,0.0004,0
0,250,0.0016,6
0,251,2.5e-05,0
0,251,0.0001,0
0,251,0.0004,0
0,251,0.0016,7
0,252,2.5e-05,0
0,252,0.0001,0
0,252,0.0004,1
0,252,0.0016,7
0,253,2.5e-05,0
0,253,0.0001,0
0,253,0.0004,1
0,253,0.0016,7
0,254,2.5e-05,0
0,254,0.0001,0
0,254,0.0004,1
0,254,0.0016,7
0,255,2.5e-05,0
0,255,0.0001,0
0,255,0.0004,1
0,255,0.0016,7
0,256,2.5e-05,0
0,256,0.0001,0
0,256,0.0004,0
0,256,0.0016,7
0,257,2.5e-05,0
0,257,0.0001,0
0,257,0.0004,0
0,257,0.0016,6
0,258,2.5e-05,0
0,258,0.0001,0
0,258,0.0004,0
0,258,0.0016,6
0,259,2.5e-05,0
0,259,0.0001,0
0,259,0.0004,0
0,259,0.0016,5
0,260,2.5e-05,0
0,260,0.0001,0
0,260,0.0004,0
0,260,0.0016,4
0,261,2.5e-05,0
0,261,0.0001,0
0,261,0.0004,0
0,261,0.0016,2
0,262,2.5e-05,0
0,262,0.0001,0
0,262,0.0004,0
0,262,0.0016,0
0,263,2.5e-05,0
0,263,0.0001,0
0,263,0.0004,0
0,263,0.0016,0
0,264,2.5e-05,0
0,264,0.0001,0
0,264,0.0004,0
0,264,0.0016,0
0,265,2.5e-05,0
0,265,0.0001,0
0,265,0.0004,0
0,265,0.0016,0
0,266,2.5e-05,0
0,266,0.0001,0
0,266,0.0004,0
0,266,0.0016,0
0,267,2.5e-05,0
0,267,0.0001,0
0,267,0.0004,0
0,267,0.0016,0
0,268,2.5e-05,0
0,268,0.0001,0
0,268,0.0004,0
0,268,0.0016,2
0,269,2.5e-05,0
0,269,0.0001,0
0,269,0.0004,0
0,269,0.0016,3
0,270,2.5e-05,0
0,270,0.0001,0
0,270,0.0004,0
0,270,0.0016,4
0,271,2.5e-05,0
0,271,0.0001,0
0,271,0.0004,0
0,271,0.0016,5
0,272,2.5e-05,0
0,272,0.0001,0
0,272,0.0004,0
0,272,0.0016,6
0,273,2.5e-05,0
0,273,0.0001,0
0,273,0.0004,0
0,273,0.0016,7
0,274,2.5e-05,0
0,274,0.0001,0
0,274,0.0004,1
0,274,0.0016,7
0,275,2.5e-05,0
0,275,0.0001,0
0,275,0.0004,1
0,275,0.0016,7
0,276,2.5e-05,0
0,276,0.0001,0
0,276,0.0004,1
0,276,0.0016,7
0,277,2.5e-05,0
0,277,0.0001,0
0,277,0.0004,1
0,277,0.0016,7
0,278,2.5e-05,0
0,278,0.0001,0
0,278,0.0004,0
0,278,0.0016,7
0,279,2.5e-05,0
0,279,0.0001,0
0,279,0.0004,0
0,279,0.0016,6
0,280,2.5e-05,0
0,280,0.0001,0
0,280,0.0004,0
0,280,0.0016,6
0,281,2.5e-05,0
0,281,0.0001,0
0,281,0.0004,0
0,281,0.0016,5
0,282,2.5e-05,0
0,282,0.0001,0
0,282,0.0004,0
0,282,0.0016,4
0,283,2.5e-05,0
0,283,0.0001,0
0,283,0.0004,0
0,283,0.0016,2
0,284,2.5e-05,0
0,284,0.0001,0
0,284,0.0004,0
0,284,0.0016,0
0,285,2.5e-05,0
0,285,0.0001,0
0,285,0.0004,0
0,285,0.0016,0
0,286,2.5e-05,0
0,286,0.0001,0
0,286,0.0004,0
0,286,0.0016,0
0,287,2.5e-05,0
0,287,0.0001,0
0,287,0.0004,0
0,287,0.0016,0
0,288,2.5e-05,0
0,288,0.0001,0
0,288,0.0004,0
0,288,0.0016,0
0,289,2.5e-05,0
0,289,0.0001,0
0,289,0.0004,0
0,289,0.0016,0
0,290,2.5e-05,0
0,290,0.0001,0
0,290,0.0004,0
0,290,0.0016,1
0,291,2.5e-05,0
0,291,0.0001,0
0,291,0.0004,0
0,291,0.0016,3
0,292,2.5e-05,0
0,292,0.0001,0
0,292,0.0004,0
0,292,0.0016,4
0,293,2.5e-05,0
0,293,0.0001,0
0,293,0.0004,0
0,293,0.0016,5
0,294,2.5e-05,0
0,294,0.0001,0
0,294,0.0004,0
0,294,0.0016,6
0,295,2.5e-05,0
0,295,0.0001,0
0,295,0.0004,0
0,295,0.0016,6
0,296,2.5e-05,0
0,296,0.0001,0
0,296,0.0004,0
0,296,0.0016,7
0,297,2.5e-05,0
0,297,0.0001,0
0,297,0.0004,1
0,297,0.0016,7
0,298,2.5e-05,0
0,298,0.0001,0
0,298,0.0004,1
0,298,0.0016,7
0,299,2.5e-05,0
0,299,0.0001,0
0,299,0.0004,0
0,299,0.0016,7
0,300,2.5e-05,0
0,300,0.0001,0
0,300,0.0004,0
0,300,0.0016,7
0,301,2.5e-05,0
0,301,0.0001,0
0,301,0.0004,0
0,301,0.0016,6
0,302,2.5e-05,0
0,302,0.0001,0
0,302,0.0004,0
0,302,0.0016,5
0,303,2.5e-05,0
0,303,0.0001,0
0,303,0.0004,0
0,303,0.0016,4
0,304,2.5e-05,0
0,304,0.0001,0
0,304,0.0004,0
0,304,0.0016,3
0,305,2.5e-05,0
0,305,0.0001,0
0,305,0.0004,0
0,305,0.0016,2
0,306,2.5e-05,0
0,306,0.0001,0
0,306,0.0004,0
0,306,0.0016,0
0,307,2.5e-05,0
0,307,0.0001,0
0,307,0.0004,0
0,307,0.0016,0
0,308,2.5e-05,0
0,308,0.0001,0
0,308,0.0004,0
0,308,0.0016,0
0,309,2.5e-05,0
0,309,0.0001,0
0,309,0.0004,0
0,309,0.0016,0
0,310,2.5e-05,0
0,310,0.0001,0
0,310,0.0004,0
0,310,0.0016,0
0,311,2.5e-05,0
0,311,0.0001,0
0,311,0.0004,0
0,311,0.0016,0
0,312,2.5e-05,0
0,312,0.0001,0
0,312,0.0004,0
0,312,0.0016,0
0,313,2.5e-05,0
0,313,0.0001,0
0,313,0.0004,0
0,313,0.0016,2
0,314,2.5e-05,0
0,314,0.0001,0
0,314,0.0004,0
0,314,0.0016,4
0,315,2.5e-05,0
0,315,0.0001,0
0,315,0.0004,0
0,315,0.0016,5
0,316,2.5e-05,0
0,316,0.0001,0
0,316,0.0004,0
0,316,0.0016,5
0,317,2.5e-05,0
0,317,0.0001,0
0,317,0.0004,0
0,317,0.0016,6
0,318,2.5e-05,0
0,318,0.0001,0
0,318,0.0004,0
0,318,0.0016,6
0,319,2.5e-05,0
0,319,0.0001,0
0,319,0.0004,0
0,319,0.0016,7
0,320,2.5e-05,0
0,320,0.0001,0
0,320,0.0004,0
0,320,0.0016,7
0,321,2.5e-05,0
0,321,0.0001,0
0,321,0.0004,0
0,321,0.0016,6
0,322,2.5e-05,0
0,322,0.0001,0
0,322,0.0004,0
0,322,0.0016,6
0,323,2.5e-05,0
0,323,0.0001,0
0,323,0.0004,0
0,323,0.0016,6
0,324,2.5e-05,0
0,324,0.0001,0
0,324,0.0004,0
0,324,0.0016,5
0,325,2.5e-05,0
0,325,0.0001,0
0,325,0.0004,0
0,325,0.0016,4
0,326,2.5e-05,0
0,326,0.0001,0
0,326,0.0004,0
0,326,0.0016,3
0,327,2.5e-05,0
0,327,0.0001,0
0,327,0.0004,0
0,327,0.0016,1
0,328,2.5e-05,0
0,328,0.0001,0
0,328,0.0004,0
0,328,0.0016,0
0,329,2.5e-05,0
0,329,0.0001,0
0,329,0.0004,0
0,329,0.0016,0
0,330,2.5e-05,0
0,330,0.0001,0
0,330,0.0004,0
0,330,0.0016,0
0,331,2.5e-05,0
0,331,0.0001,0
0,331,0.0004,0
0,331,0.0016,0
0,332,2.5e-05,0
0,332,0.0001,0
0,332,0.0004,0
0,332,0.0016,0
0,333,2.5e-05,0
0,333,0.0001,0
0,333,0.0004,0
0,333,0.0016,0
0,334,2.5e-05,0
0,334,0.0001,0
0,334,0.0004,0
0,334,0.0016,0
0,335,2.5e-05,0
0,335,0.0001,0
0,335,0.0004,0
0,335,0.0016,1
0,336,2.5e-05,0
0,336,0.0001,0
0,336,0.0004,0
0,336,0.0016,3
0,337,2.5e-05,0
0,337,0.0001,0
0,337,0.0004,0
0,337,0.0016,4
0,338,2.5e-05,0
0,338,0.0001,0
0,338,0.0004,0
0,338,0.0016,5
0,339,2.5e-05,0
0,339,0.0001,0
0,339,0.0004,0
0,339,0.0016,5
0,340,2.5e-05,0
0,340,0.0001,0
0,340,0.0004,0
0,340,0.0016,6
0,341,2.5e-05,0
0,341,0.0001,0
0,341,0.0004,0
0,341,0.0016,6
0,342,2.5e-05,0
0,342,0.0001,0
0,342,0.0004,0
0,342,0.0016,6
0,343,2.5e-05,0
0,343,0.0001,0
0,343,0.0004,0
0,343,0.0016,6
0,344,2.5e-05,0
0,344,0.0001,0
0,344,0.0004,0
0,344,0.0016,5
0,345,2.5e-05,0
0,345,0.0001,0
0,345,0.0004,0
0,345,0.0016,5
0,346,2.5e-05,0
0,346,0.0001,0
0,346,0.0004,0
0,346,0.0016,4
0,347,2.5e-05,0
0,347,0.0001,0
0,347,0.0004,0
0,347,0.0016,3
0,348,2.5e-05,0
0,348,0.0001,0
0,348,0.0004,0
0,348,0.0016,2
0,349,2.5e-05,0
0,349,0.0001,0
0,349,0.0004,0
0,349,0.0016,0
0,350,2.5e-05,0
0,350,0.0001,0
0,350,0.0004,0
0,350,0.0016,0
0,351,2.5e-05,0
0,351,0.0001,0
0,351,0.0004,0
0,351,0.0016,0
0,352,2.5e-05,0
0,352,0.0001,0
0,352,0.0004,0
0,352,0.0016,0
0,353,2.5e-05,0
0,353,0.0001,0
0,353,0.0004,0
0,353,0.0016,0
0,354,2.5e-05,0
0,354,0.0001,0
0,354,0.0004,0
0,354,0.0016,0
0,355,2.5e-05,0
0,355,0.0001,0
0,355,0.0004,0
0,355,0.0016,0
0,356,2.5e-05,0
0,356,0.0001,0
0,356,0.0004,0
0,356,0.0016,0
0,357,2.5e-05,0
0,357,0.0001,0
0,357,0.0004,0
0,357,0.0016,0
0,358,2.5e-05,0
0,358,0.0001,0
0,358,0.0004,0
0,358,0.0016,2
0,359,2.5e-05,0
0,359,0.0001,0
0,359,0.0004,0
0,359,0.0016,3
0,360,2.5e-05,0
0,360,0.0001,0
0,360,0.0004,0
0,360,0.0016,4
0,361,2.5e-05,0
0,361,0.0001,0
0,361,0.0004,0
0,361,0.0016,5
0,362,2.5e-05,0
0,362,0.0001,0
0,362,0.0004,0
0,362,0.0016,5
0,363,2.5e-05,0
0,363,0.0001,0
0,363,0.0004,0
0,363,0.0016,5
0,364,2.5e-05,0
0,364,0.0001,0
0,364,0.0004,0
0,364,0.0016,5
0,365,2.5e-05,0
0,365,0.0001,0
0,365,0.0004,0
0,365,0.0016,5
0,366,2.5e-05,0
0,366,0.0001,0
0,366,0.0004,0
0,366,0.0016,5
0,367,2.5e-05,0
0,367,0.0001,0
0,367,0.0004,0
0,367,0.0016,4
0,368,2.5e-05,0
0,368,0.0001,0
0,368,0.0004,0
0,368,0.0016,3
0,369,2.5e-05,0
0,369,0.0001,0
0,369,0.0004,0
0,369,0.0016,2
0,370,2.5e-05,0
0,370,0.0001,0
0,370,0.0004,0
0,370,0.0016,1
0,371,2.5e-05,0
0,371,0.0001,0
0,371,0.0004,0
0,371,0.0016,0
0,372,2.5e-05,0
0,372,0.0001,0
0,372,0.0004,0
0,372,0.0016,0
0,373,2.5e-05,0
0,373,0.0001,0
0,373,0.0004,0
0,373,0.0016,0
0,374,2.5e-05,0
0,374,0.0001,0
0,374,0.0004,0
0,374,0.0016,0
0,375,2.5e-05,0
0,375,0.0001,0
0,375,0.0004,0
0,375,0.0016,0
0,376,2.5e-05,0
0,376,0.0001,0
0,376,0.0004,0
0,376,0.0016,0
0,377,2.5e-05,0
0,377,0.0001,0
0,377,0.0004,0
0,377,0.0016,0
0,378,2.5e-05,0
0,378,0.0001,0
0,378,0.0004,0
0,378,0.0016,0
0,379,2.5e-05,0
0,379,0.0001,0
0,379,0.0004,0
0,379,0.0016,0
0,380,2.5e-05,0
0,380,0.0001,0
0,380,0.0004,0
0,380,0.0016,0
0,381,2.5e-05,0
0,381,0.0001,0
0,381,0.0004,0
0,381,0.0016,2
0,382,2.5e-05,0
0,382,0.0001,0
0,382,0.0004,0
0,382,0.0016,3
0,383,2.5e-05,0
0,383,0.0001,0
0,383,0.0004,0
0,383,0.0016,3
0,384,2.5e-05,0
0,384,0.0001,0
0,384,0.0004,0
0,384,0.0016,4
0,385,2.5e-05,0
0,385,0.0001,0
0,385,0.0004,0
0,385,0.0016,4
0,386,2.5e-05,0
0,386,0.0001,0
0,386,0.0004,0
0,386,0.0016,4
0,387,2.5e-05,0
0,387,0.0001,0
0,387,0.0004,0
0,387,0.0016,4
0,388,2.5e-05,0
0,388,0.0001,0
0,388,0.0004,0
0,388,0.0016,4
0,389,2.5e-05,0
0,389,0.0001,0
0,389,0.0004,0
0,389,0.0016,3
0,390,2.5e-05,0
0,390,0.0001,0
0,390,0.0004,0
0,390,0.0016,2
0,391,2.5e-05,0
0,391,0.0001,0
0,391,0.0004,0
0,391,0.0016,1
0,392,2.5e-05,0
0,392,0.0001,0
0,392,0.0004,0
0,392,0.0016,0
0,393,2.5e-05,0
0,393,0.0001,0
0,393,0.0004,0
0,393,0.0016,0
0,394,2.5e-05,0
0,394,0.0001,0
0,394,0.0004,0
0,394,0.0016,0
0,395,2.5e-05,0
0,395,0.0001,0
0,395,0.0004,0
0,395,0.0016,0
0,396,2.5e-05,0
0,396,0.0001,0
0,396,0.0004,0
0,396,0.0016,0
0,397,2.5e-05,0
0,397,0.0001,0
0,397,0.0004,0
0,397,0.0016,0
0,398,2.5e-05,0
0,398,0.0001,0
0,398,0.0004,0
0,398,0.0016,0
0,399,2.5e-05,0
0,399,0.0001,0
0,399,0.0004,0
0,399,0.0016,0
0,400,2.5e-05,0
0,400,0.0001,0
0,400,0.0004,0
0,400,0.0016,0
0,401,2.5e-05,0
0,401,0.0001,0
0,401,0.0004,0
0,401,0.0016,0
0,402,2.5e-05,0
0,402,0.0001,0
0,402,0.0004,0
0,402,0.0016,0
0,403,2.5e-05,0
0,403,0.0001,0
0,403,0.0004,0
0,403,0.0016,0
0,404,2.5e-05,0
0,404,0.0001,0
0,404,0.0004,0
0,404,0.0016,1
0,405,2.5e-05,0
0,405,0.0001,0
0,405,0.0004,0
0,405,0.0016,2
0,406,2.5e-05,0
0,406,0.0001,0
0,406,0.0004,0
0,406,0.0016,2
0,407,2.5e-05,0
0,407,0.0001,0
0,407,0.0004,0
0,407,0.0016,3
0,408,2.5e-05,0
0,408,0.0001,0
0,408,0.0004,0
0,408,0.0016,3
0,409,2.5e-05,0
0,409,0.0001,0
0,409,0.0004,0
0,409,0.0016,3
0,410,2.5e-05,0
0,410,0.0001,0
0,410,0.0004,0
0,410,0.0016,2
0,411,2.5e-05,0
0,411,0.0001,0
0,411,0.0004,0
0,411,0.0016,1
0,412,2.5e-05,0
0,412,0.0001,0
0,412,0.0004,0
0,412,0.0016,0
0,413,2.5e-05,0
0,413,0.0001,0
0,413,0.0004,0
0,413,0.0016,0
0,414,2.5e-05,0
0,414,0.0001,0
0,414,0.0004,0
0,414,0.0016,0
0,415,2.5e-05,0
0,415,0.0001,0
0,415,0.0004,0
0,415,0.0016,0
0,416,2.5e-05,0
0,416,0.0001,0
0,416,0.0004,0
0,416,0.0016,0
0,417,2.5e-05,0
0,417,0.0001,0
0,417,0.0004,0
0,417,0.0016,0
0,418,2.5e-05,0
0,418,0.0001,0
0,418,0.0004,0
0,418,0.0016,0
0,419,2.5e-05,0
0,419,0.0001,0
0,419,0.0004,0
0,419,0.0016,0
0,420,2.5e-05,0
0,420,0.0001,0
0,420,0.0004,0
0,420,0.0016,0
0,421,2.5e-05,0
0,421,0.0001,0
0,421,0.0004,0
0,421,0.0016,0
0,422,2.5e-05,0
0,422,0.0001,0
0,422,0.0004,0
0,422,0.0016,0
0,423,2.5e-05,0
0,423,0.0001,0
0,423,0.0004,0
0,423,0.0016,0
0,424,2.5e-05,0
0,424,0.0001,0
0,424,0.0004,0
0,424,0.0016,0
0,425,2.5e-05,0
0,425,0.0001,0
0,425,0.0004,0
0,425,0.0016,0
0,426,2.5e-05,0
0,426,0.0001,0
0,426,0.0004,0
0,426,0.0016,0
0,427,2.5e-05,0
0,427,0.0001,0
0,427,0.0004,0
0,427,0.0016,0
0,428,2.5e-05,0
0,428,0.0001,0
0,428,0.0004,0
0,428,0.0016,0
0,429,2.5e-05,0
0,429,0.0001,0
0,429,0.0004,0
0,429,0.0016,1
0,430,2.5e-05,0
0,430,0.0001,0
0,430,0.0004,0
0,430,0.0016,1
0,431,2.5e-05,0
0,431,0.0001,0
0,431,0.0004,0
0,431,0.0016,1
0,432,2.5e-05,0
0,432,0.0001,0
0,432,0.0004,0
0,432,0.0016,0
0,433,2.5e-05,0
0,433,0.0001,0
0,433,0.0004,0
0,433,0.0016,0
0,434,2.5e-05,0
0,434,0.0001,0
0,434,0.0004,0
0,434,0.0016,0
0,435,2.5e-05,0
0,435,0.0001,0
0,435,0.0004,0
0,435,0.0016,0
0,436,2.5e-05,0
0,436,0.0001,0
0,436,0.0004,0
0,436,0.0016,0
0,437,2.5e-05,0
0,437,0.0001,0
0,437,0.0004,0
0,437,0.0016,0
0,438,2.5e-05,0
0,438,0.0001,0
0,438,0.0004,0
0,438,0.0016,0
0,439,2.5e-05,0
0,439,0.0001,0
0,439,0.0004,0
0,439,0.0016,0
0,440,2.5e-05,0
0,440,0.0001,0
0,440,0.0004,0
0,440,0.0016,0
0,441,2.5e-05,0
0,441,0.0001,0
0,441,0.0004,0
0,441,0.0016,0
0,442,2.5e-05,0
0,442,0.0001,0
0,442,0.0004,0
0,442,0.0016,0
0,443,2.5e-05,0
0,443,0.0001,0
0,443,0.0004,0
0,443,0.0016,0
0,444,2.5e-05,0
0,444,0.0001,0
0,444,0.0004,0
0,444,0.0016,0
0,445,2.5e-05,0
0,445,0.0001,0
0,445,0.0004,0
0,445,0.0016,0
0,446,2.5e-05,0
0,446,0.0001,0
0,446,0.0004,0
0,446,0.0016,0
0,447,2.5e-05,0
0,447,0.0001,0
0,447,0.0004,0
0,447,0.0016,0
0,448,2.5e-05,0
0,448,0.0001,0
0,448,0.0004,0
0,448,0.0016,0
0,449,2.5e-05,0
0,449,0.0001,0
0,449,0.0004,0
0,449,0.0016,0
0,450,2.5e-05,0
0,450,0.0001,0
0,450,0.0004,0
0,450,0.0016,0
0,451,2.5e-05,0
0,451,0.0001,0
0,451,0.0004,0
0,451,0.0016,0
0,452,2.5e-05,0
0,452,0.0001,0
0,452,0.0004,0
0,452,0.0016,0
0,453,2.5e-05,0
0,453,0.0001,0
0,453,0.0004,0
0,453,0.0016,0
0,454,2.5e-05,0
0,454,0.0001,0
0,454,0.0004,0
0,454,0.0016,0
0,455,2.5e-05,0
0,455,0.0001,0
0,455,0.0004,0
0,455,0.0016,0
0,456,2.5e-05,0
0,456,0.0001,0
0,456,0.0004,0
0,456,0.0016,0
0,457,2.5e-05,0
0,457,0.0001,0
0,457,0.0004,0
0,457,0.0016,0
0,458,2.5e-05,0
0,458,0.0001,0
0,458,0.0004,0
0,458,0.0016,0
0,459,2.5e-05,0
0,459,0.0001,0
0,459,0.0004,0
0,459,0.0016,0
0,460,2.5e-05,0
0,460,0.0001,0
0,460,0.0004,0
0,460,0.0016,0
0,461,2.5e-05,0
0,461,0.0001,0
0,461,0.0004,0
0,461,0.0016,0
0,462,2.5e-05,0
0,462,0.0001,0
0,462,0.0004,0
0,462,0.0016,0
0,463,2.5e-05,0
0,463,0.0001,0
0,463,0.0004,0
0,463,0.0016,0
0,464,2.5e-05,0
0,464,0.0001,0
0,464,0.0004,0
0,464,0.0016,0
0,465,2.5e-05,0
0,465,0.0001,0
0,465,0.0004,0
0,465,0.0016,0
0,466,2.5e-05,0
0,466,0.0001,0
0,466,0.0004,0
0,466,0.0016,0
0,467,2.5e-05,0
0,467,0.0001,0
0,467,0.0004,0
0,467,0.0016,0
0,468,2.5e-05,0
0,468,0.0001,0
0,468,0.0004,0
0,468,0.0016,0
0,469,2.5e-05,0
0,469,0.0001,0
0,469,0.0004,0
0,469,0.0016,0
0,470,2.5e-05,0
0,470,0.0001,0
0,470,0.0004,0
0,470,0.0016,0
0,471,2.5e-05,0
0,471,0.0001,0
0,471,0.0004,0
0,471,0.0016,0
0,472,2.5e-05,0
0,472,0.0001,0
0,472,0.0004,0
0,472,0.0016,0
0,473,2.5e-05,0
0,473,0.0001,0
0,473,0.0004,0
0,473,0.0016,0
0,474,2.5e-05,0
0,474,0.0001,0
0,474,0.0004,0
0,474,0.0016,0
0,475,2.5e-05,0
0,475,0.0001,0
0,475,0.0004,0
0,475,0.0016,0
0,476,2.5e-05,0
0,476,0.0001,0
0,476,0.0004,0
0,476,0.0016,0
0,477,2.5e-05,0
0,477,0.0001,0
0,477,0.0004,0
0,477,0.0016,0
0,478,2.5e-05,0
0,478,0.0001,0
0,478,0.0004,0
0,478,0.0016,0
0,479,2.5e-05,0
0,479,0.0001,0
0,479,0.0004,0
0,479,0.0016,0
0,480,2.5e-05,0
0,480,0.0001,0
0,480,0.0004,0
0,480,0.0016,0
0,481,2.5e-05,0
0,481,0.0001,0
0,481,0.0004,0
0,481,0.0016,0
0,482,2.5e-05,0
0,482,0.0001,0
0,482,0.0004,0
0,482,0.0016,0
0,483,2.5e-05,0
0,483,0.0001,0
0,483,0.0004,0
0,483,0.0016,0
